name,SMILES,PubChem
"Octane, 2,2-dimethyl-",CCCCCCC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/85150
Naphthalene,C1=CC=C2C=CC=CC2=C1,https://pubchem.ncbi.nlm.nih.gov/compound/931
Phenanthrene,C1=CC=C2C(=C1)C=CC3=CC=CC=C32,https://pubchem.ncbi.nlm.nih.gov/compound/995
"Dibenzo(a,i)pyrene",C1=CC=C2C3=C4C(=CC2=C1)C=CC5=CC6=CC=CC=C6C(=C54)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/9106
9-Methylphenanthrene,CC1=CC2=CC=CC=C2C3=CC=CC=C13,https://pubchem.ncbi.nlm.nih.gov/compound/13438
"3,4-Dimethylheptane",CCCC(C)C(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/13534
"1,2,5-Trimethylnaphthalene",CC1=C2C=CC(=C(C2=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/69501
"1,3-Dimethylnaphthalene",CC1=CC2=CC=CC=C2C(=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11327
"2,3,5-Trimethylhexane",CC(C)CC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14045
"Hexane, 3,3,4,4-tetramethyl-",CCC(C)(C)C(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/78849
"3,3,5-Trimethylheptane",CCC(C)CC(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/23544
3-Methylnonane,CCCCCCC(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/22202
"1,2,8-Trimethylnaphthalene",CC1=C2C(=C(C=CC2=CC=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/19753
"2,3,6-Trimethylnaphthalene",CC1=CC2=C(C=C1)C=C(C(=C2)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/13237
Mesitylene,CC1=CC(=CC(=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/7947
3-Ethyl-3-methylhexane,CCCC(C)(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/18313
2-Methylphenanthrene,CC1=CC2=C(C=C1)C3=CC=CC=C3C=C2,https://pubchem.ncbi.nlm.nih.gov/compound/17321
"octane, 2,3-dimethyl-(8ci)",CCCCCC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/23531
Benzo(K)Fluoranthene,C1=CC=C2C=C3C4=CC=CC5=C4C(=CC=C5)C3=CC2=C1,https://pubchem.ncbi.nlm.nih.gov/compound/9158
"Heptane, 4-ethyl-",CCCC(CC)CCC,https://pubchem.ncbi.nlm.nih.gov/compound/16663
"Dibenzo(a,e)pyrene",C1=CC=C2C3=C4C(=CC2=C1)C5=CC=CC=C5C6=CC=CC(=C64)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/9126
"3-Ethyl-2,3-dimethylpentane",CCC(C)(CC)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28027
"1,7-Dimethylnaphthalene",CC1=CC2=C(C=CC=C2C=C1)C,https://pubchem.ncbi.nlm.nih.gov/compound/11326
Cumene,CC(C)C1=CC=CC=C1,https://pubchem.ncbi.nlm.nih.gov/compound/7406
"1,2,6-Trimethylnaphthalene",CC1=CC2=C(C=C1)C(=C(C=C2)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/76419
1-Ethyl-2-Methylbenzene,CCC1=CC=CC=C1C,https://pubchem.ncbi.nlm.nih.gov/compound/11903
"1,2,3-Trimethylnaphthalene",CC1=CC2=CC=CC=C2C(=C1C)C,https://pubchem.ncbi.nlm.nih.gov/compound/70145
4-Methylphenanthrene,CC1=C2C(=CC=C1)C=CC3=CC=CC=C32,https://pubchem.ncbi.nlm.nih.gov/compound/13256
"Hexane, 3,4-diethyl-",CCC(CC)C(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/88038
"DIBENZO(a,h)PYRENE",C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC6=CC=CC=C56)C=C3,https://pubchem.ncbi.nlm.nih.gov/compound/9108
Perylene,C1=CC2=C3C(=C1)C4=CC=CC5=C4C(=CC=C5)C3=CC=C2,https://pubchem.ncbi.nlm.nih.gov/compound/9142
BENZO(ghi)PERYLENE,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2,https://pubchem.ncbi.nlm.nih.gov/compound/9117
"2,2,4,4-Tetramethylpentane",CC(C)(C)CC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14058
3-Ethyl-2-methylhexane,CCCC(CC)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/86067
"3,3,4-Trimethylheptane",CCCC(C)C(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/140668
3-Ethyl-4-methylheptane,CCCC(C)C(CC)CC,https://pubchem.ncbi.nlm.nih.gov/compound/521415
"2,2-Dimethylheptane",CCCCCC(C)(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/14062
Pyrene,C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2,https://pubchem.ncbi.nlm.nih.gov/compound/31423
"2,3,3,4-Tetramethylpentane",CC(C)C(C)(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/28028
Fluorene,C1C2=CC=CC=C2C3=CC=CC=C31,https://pubchem.ncbi.nlm.nih.gov/compound/6853
"1,3,7-Trimethylnaphthalene",CC1=CC2=C(C=C(C=C2C=C1)C)C,https://pubchem.ncbi.nlm.nih.gov/compound/16477
2-Methyloctane,CCCCCCC(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/18591
Benz(a)anthracene,C1=CC=C2C(=C1)C=CC3=CC4=CC=CC=C4C=C32,https://pubchem.ncbi.nlm.nih.gov/compound/5954
"5-Ethyl-2,3,5-trimethylheptane",CCC(C)(CC)CC(C)C(C)C,https://pubchem.ncbi.nlm.nih.gov/compound/53428903
"3,3,4-Trimethylhexane",CCC(C)C(C)(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/28025
O-Xylene,CC1=CC=CC=C1C,https://pubchem.ncbi.nlm.nih.gov/compound/7237
"3,4-Dimethyloctane",CCCCC(C)C(C)CC,https://pubchem.ncbi.nlm.nih.gov/compound/85926
